GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
975855741,Connect4,19,GAME_OVER,39,0,2,808,connect4-64,-1.0,1.0,connect4-64,1,0,4,7,6,3,6,6,6,0,0,0
-618874958,Connect4,11,GAME_OVER,24,1,2,809,connect4-64,1.0,-1.0,connect4-64,1,0,4,1,4,2,7,3,2,0,0,0
1659114766,Connect4,7,GAME_OVER,16,1,2,810,connect4-64,1.0,-1.0,connect4-64,0,0,0,1,4,4,3,3,1,0,0,0
461754042,Connect4,10,GAME_OVER,22,1,2,811,connect4-64,1.0,-1.0,connect4-64,0,0,1,3,5,4,4,3,2,0,0,0
-1512200892,Connect4,14,GAME_OVER,30,1,2,812,connect4-64,1.0,-1.0,connect4-64,0,0,0,6,7,2,4,7,4,0,0,0
1348428364,Connect4,28,GAME_OVER,57,0,2,813,connect4-64,-1.0,1.0,connect4-64,8,0,8,4,8,8,8,5,8,0,0,0
-1838396453,Connect4,12,GAME_OVER,26,1,2,814,connect4-64,1.0,-1.0,connect4-64,0,0,0,2,7,6,6,3,2,0,0,0
1412225057,Connect4,14,GAME_OVER,29,0,2,815,connect4-64,-1.0,1.0,connect4-64,2,0,4,6,6,5,5,1,0,0,0,0
1722692733,Connect4,25,GAME_OVER,51,0,2,816,connect4-64,-1.0,1.0,connect4-64,5,0,8,8,5,7,8,3,7,0,0,0
-430956239,Connect4,9,GAME_OVER,19,0,2,817,connect4-64,-1.0,1.0,connect4-64,1,0,4,3,4,3,3,1,0,0,0,0
-2054880715,Connect4,12,GAME_OVER,25,0,2,818,connect4-64,-1.0,1.0,connect4-64,1,0,1,3,6,5,6,2,1,0,0,0
2078028913,Connect4,25,GAME_OVER,52,1,2,819,connect4-64,1.0,-1.0,connect4-64,8,0,1,8,8,8,3,8,8,0,0,0
-270287671,Connect4,20,GAME_OVER,41,0,2,820,connect4-64,-1.0,1.0,connect4-64,4,0,3,8,6,1,6,6,7,0,0,0
-485432402,Connect4,17,GAME_OVER,36,1,2,821,connect4-64,1.0,-1.0,connect4-64,7,0,0,7,7,1,7,3,4,0,0,0
1412862138,Connect4,28,GAME_OVER,58,1,2,822,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,2,8,8,8,0,0,0
1227988643,Connect4,24,GAME_OVER,50,1,2,823,connect4-64,1.0,-1.0,connect4-64,3,0,8,8,8,2,8,5,8,0,0,0
